OGC Nice,Dupe,Desler,Rouault,Nicolaisen,Sylla,Spierings,van den Boomen,Ngoumou,Chaibi,Ratao,Dallinga,But,TFC,20,Dallinga,PasseDecisive,TFC,20,van den Boomen,But,OGC Nice,78,Opposant
ESTAC Troyes,Dupe,Desler,Rouault,Nicolaisen,Sylla,Spierings,van den Boomen,Ratao,Dejaegere,Aboukhlal,Dallinga,CartonJaune,TFC,30,Dallinga,But,TFC,54,Ratao,PasseDecisive,TFC,54,Aboukhlal
Lorient,Dupe,Desler,Rouault,Nicolaisen,Diarra,Dejaegere,Spierings,van den Boomen,Ratao,Dallinga,Aboukhlal,But,Lorient,2,Opposant,But,TFC,31,Ratao,CartonJaune,TFC,43,Dallinga,But,TFC,64,Dallinga,CartonJaune,TFC,73,van den Boomen,But,Lorient,80,Opposant
